listing_id,title_en,title_ur,category,tags,price,city,listing_type,price_band,currency,is_active,popularity_count,vendor_id,stock_status,description_en
21,Elegant Satin Kimono,,Fashion & Apparel,"['satin kimono', 'elegant outerwear', 'fashion layering', 'boho style', ""women's fashion""]",7000.00,,product,mid,PKR,True,0,42,in_stock,"Elevate your wardrobe with this stunning satin kimono. Its luxurious fabric drapes beautifully, offering both comfort and style. Perfect for layering over any outfit, this piece effortlessly transitions from day to night."
22,Chic Striped Pajama Set,,Fashion & Apparel,"['pajama set', 'loungewear', 'comfortable sleepwear', 'striped pajamas', ""women's nightwear""]",5000.00,,product,mid,PKR,True,0,42,in_stock,"Elevate your loungewear with our Chic Striped Pajama Set, combining comfort and style for the perfect night in or lazy weekend. Made from soft, breathable fabric, this set features a button-up top with a classic collar and matching pants, ensuring you look effortlessly put-together during your downtime."
23,Elegant Embroidered Suit,,Fashion & Apparel,"['Anarkali suit', 'embroidered dress', 'traditional wear', 'festive outfit']",6500.00,,product,mid,PKR,True,0,42,in_stock,"Step into sophistication with our Elegant Embroidered Anarkali Suit, perfect for festive occasions and formal gatherings. Crafted with intricate embroidery and adorned with delicate floral patterns, this outfit exudes grace and charm."
24,Aeris Hoops,,Fashion & Apparel,"['gold earrings', 'hoop earrings', 'fashion jewelry', 'accessory', ""women's earrings""]",1200.00,,product,mid,PKR,True,0,43,in_stock,"Elevate your accessory game with these elegantly crafted gold hoop earrings. Their timeless design and lustrous finish make them the perfect addition to any outfit, whether you're dressing up for a special occasion or adding a touch of sophistication to your everyday look."
25,Sparkling Initial Pendant Necklace,,Fashion & Apparel,"['initial necklace', 'personalized jewelry', 'statement piece', 'glitter necklace']",1000.00,,product,low,PKR,True,0,43,in_stock,"Elevate your accessory game with our stunning initial pendant necklace. This piece features a bold, glittering letter design, perfect for personal expression and a touch of glam."
26,Infinity Symbol Bracelet,,Fashion & Apparel,"['infinity bracelet', 'fashion jewelry', 'meaningful gift', 'friendship jewelry']",1000.00,,product,low,PKR,True,0,43,in_stock,"Elevate your accessory game with this stunning Infinity Symbol Bracelet. Crafted with delicate chains and elegant infinity charms, it symbolizes eternal love and friendship, making it a meaningful addition to any jewelry collection."
27,Elegant Modern Ring,,Fashion & Apparel,"['modern ring', 'elegant jewelry', 'unique design', 'statement piece']",1300.00,,product,mid,PKR,True,0,43,in_stock,"Discover the perfect blend of contemporary design and timeless elegance with our Elegant Modern Ring. Crafted to showcase unique swirls and gleaming finishes, this piece is a statement of sophistication that will elevate any outfit."
28,Sunset painting,,Other,[],2000.00,,product,mid,PKR,True,0,44,in_stock,Aesthetic paintingg
29,jewel,fff,Home & Garden,[],315184.00,,product,high,PKR,True,0,46,in_stock,fff
30,Classic Black Leather Handbag,کلاسک سیاہ لیدر ہینڈ بیگ,Handbags,"['handbag', 'black', 'leather', 'formal', 'office']",8500.00,,product,high,PKR,True,0,47,in_stock,Premium black leather handbag with spacious interior and gold-tone hardware. Perfect for office and formal outings.
31,Elegant Brown Tote Bag,خوبصورت براؤن ٹوٹ بیگ,Tote Bags,"['tote', 'brown', 'casual', 'daily-use']",7200.00,,product,high,PKR,True,0,47,in_stock,Large capacity brown tote bag designed for daily use. Durable material with inner zipper compartments.
32,Stylish Beige Crossbody Bag,اسٹائلش بیج کراس باڈی بیگ,Crossbody Bags,"['crossbody', 'beige', 'compact', 'casual']",4800.00,,product,mid,PKR,True,0,47,in_stock,Compact crossbody bag with adjustable strap. Lightweight and perfect for casual outings.
33,Luxury Maroon Shoulder Bag,لگژری مارون شولڈر بیگ,Shoulder Bags,"['shoulder-bag', 'maroon', 'luxury', 'formal']",9200.00,,product,high,PKR,True,0,47,in_stock,Premium maroon shoulder bag with elegant finish. Ideal for formal dinners and events.
34,Chic White Mini Bag,خوبصورت سفید منی بیگ,Mini Bags,"['mini', 'white', 'party', 'trendy']",3900.00,,product,mid,PKR,True,0,47,in_stock,Trendy white mini bag with sleek design. Perfect for parties and evening outings.
35,Premium Grey Office Bag,پریمیم گرے آفس بیگ,Office Bags,"['office', 'grey', 'structured', 'professional']",10500.00,,product,high,PKR,True,0,47,in_stock,Structured grey office bag with multiple compartments for laptop and essentials.
36,Trendy Pink Handbag,ٹرینڈی پنک ہینڈ بیگ,Handbags,"['handbag', 'pink', 'trendy', 'fashion']",5600.00,,product,mid,PKR,True,0,47,in_stock,Bright pink handbag with modern style. Adds a pop of color to any outfit.
37,Classic Navy Blue Tote,کلاسک نیوی بلیو ٹوٹ,Tote Bags,"['tote', 'navy', 'travel', 'durable']",6800.00,,product,mid,PKR,True,0,47,in_stock,Elegant navy blue tote bag with durable straps. Ideal for shopping and travel.
38,Luxury Tan Leather Bag,لگژری ٹین لیدر بیگ,Leather Bags,"['leather', 'tan', 'premium', 'luxury']",11500.00,,product,high,PKR,True,0,47,in_stock,High-quality tan leather bag with premium stitching and spacious interior.
39,Elegant Black Clutch,خوبصورت سیاہ کلچ,Clutches,"['clutch', 'black', 'formal', 'wedding']",3500.00,,product,mid,PKR,True,0,47,in_stock,Minimal black clutch with metallic finish. Perfect for formal events and weddings.
40,Classic White Cotton Shalwar Kameez,کلاسک سفید کاٹن شلوار قمیض,Men Shalwar Kameez,"['white', 'cotton', 'summer', 'classic']",4500.00,,product,mid,PKR,True,0,48,in_stock,Premium breathable cotton white shalwar kameez perfect for summer and Jummah prayers.
41,Black Embroidered Formal Shalwar Kameez,سیاہ کڑھائی والا رسمی شلوار قمیض,Formal Wear,"['black', 'formal', 'embroidered']",7800.00,,product,high,PKR,True,0,48,in_stock,Elegant black formal wear with subtle embroidery on collar and cuffs.
42,Navy Blue Wash & Wear Suit,نیوی بلیو واش اینڈ ویئر سوٹ,Wash & Wear,"['navy', 'office', 'daily']",5200.00,,product,mid,PKR,True,0,48,in_stock,Wrinkle-resistant navy blue wash & wear fabric ideal for daily office use.
43,Beige Eid Special Shalwar Kameez,بیج عید اسپیشل شلوار قمیض,Festive Collection,"['eid', 'beige', 'festive']",8500.00,,product,high,PKR,True,0,48,in_stock,Festive beige outfit with detailed thread embroidery. Perfect for Eid gatherings.
44,Grey Casual Shalwar Kameez,گرے کیژول شلوار قمیض,Casual Wear,"['grey', 'casual']",4800.00,,product,mid,PKR,True,0,48,in_stock,Soft grey casual wear made from lightweight fabric for all-day comfort.
45,Olive Green Premium Suit,اولیو گرین پریمیم سوٹ,Premium Collection,"['olive', 'premium']",6900.00,,product,mid,PKR,True,0,48,in_stock,Premium olive green fabric with modern slim fit design.
46,Maroon Wedding Wear Shalwar Kameez,مارون ویڈنگ وئیر شلوار قمیض,Wedding Collection,"['maroon', 'wedding']",12000.00,,product,high,PKR,True,0,48,in_stock,Luxury maroon outfit for weddings with intricate embroidery.
47,Sky Blue Summer Suit,اسکائی بلیو سمر سوٹ,Summer Collection,"['sky-blue', 'summer']",4300.00,,product,mid,PKR,True,0,48,in_stock,Lightweight sky blue cotton suit ideal for hot weather.
48,Cream Designer Shalwar Kameez,کریم ڈیزائنر شلوار قمیض,Designer Wear,"['cream', 'designer']",9500.00,,product,high,PKR,True,0,48,in_stock,Elegant cream designer suit with detailed neckline work.
49,Dark Brown Winter Suit,ڈارک براؤن ونٹر سوٹ,Winter Collection,"['brown', 'winter']",7800.00,,product,high,PKR,True,0,48,in_stock,Warm fabric winter collection shalwar kameez for cold season.
50,Jewellery Piece 1,جیولری آئٹم 1,Jewellery,"['jewellery', 'accessory']",5000.00,,product,mid,PKR,True,0,49,in_stock,Elegant jewellery piece number 1.
51,Jewellery Piece 2,جیولری آئٹم 2,Jewellery,"['jewellery', 'accessory']",6500.00,,product,mid,PKR,True,0,49,in_stock,Elegant jewellery piece number 2.
