listing_id,title_en,title_ur,category,tags,price,city,listing_type,price_band,currency,is_active,popularity_count,vendor_id,stock_status,description_en
30,Embroidered Lawn Suit 3-Piece,ایمبرائیڈرڈ لان سوٹ 3 پیس,Clothing,"['lawn', 'embroidered', 'eid', 'summer', '3-piece']",3500,Karachi,product,mid,PKR,True,51,13,in_stock,"Embroidered Lawn Suit 3-Piece — Clothing listing featuring lawn, embroidered, eid, summer, 3-piece. Available in Karachi, Pakistan. Price: PKR 3500."
31,Bridal Lehenga Red Gold,دلہن لہنگہ لال سنہری,Bridal & Wedding,"['lehenga', 'bridal', 'wedding', 'red', 'heavy']",45000,Lahore,product,high,PKR,True,14,9,in_stock,"Bridal Lehenga Red Gold — Bridal & Wedding listing featuring lehenga, bridal, wedding, red, heavy. Available in Lahore, Pakistan. Price: PKR 45000."
32,Casual Kurta Khaddar,کیژوئل کرتا خدر,Clothing,"['kurta', 'khaddar', 'winter', 'casual']",1800,Faisalabad,product,mid,PKR,True,71,15,out_of_stock,"Casual Kurta Khaddar — Clothing listing featuring kurta, khaddar, winter, casual. Available in Faisalabad, Pakistan. Price: PKR 1800."
33,Printed Chiffon Dupatta,پرنٹڈ شیفون دوپٹہ,Clothing,"['dupatta', 'chiffon', 'printed', 'colorful']",900,Karachi,product,low,PKR,True,60,13,in_stock,"Printed Chiffon Dupatta — Clothing listing featuring dupatta, chiffon, printed, colorful. Available in Karachi, Pakistan. Price: PKR 900."
34,Party Wear Maxi Dress,پارٹی ویئر میکسی ڈریس,Clothing,"['maxi', 'party', 'dress', 'formal']",5500,Islamabad,product,mid,PKR,True,20,1,in_stock,"Party Wear Maxi Dress — Clothing listing featuring maxi, party, dress, formal. Available in Islamabad, Pakistan. Price: PKR 5500."
35,Cotton Shalwar Kameez Unstitched,سوتی شلوار قمیض بغیر سلا,Clothing,"['cotton', 'unstitched', 'shalwar-kameez', 'summer']",2200,Lahore,product,mid,PKR,True,74,7,in_stock,"Cotton Shalwar Kameez Unstitched — Clothing listing featuring cotton, unstitched, shalwar-kameez, summer. Available in Lahore, Pakistan. Price: PKR 2200."
36,Festive Gharara Set,تہواری گھرارہ سیٹ,Bridal & Wedding,"['gharara', 'festive', 'eid', 'traditional']",8000,Multan,product,high,PKR,True,74,9,in_stock,"Festive Gharara Set — Bridal & Wedding listing featuring gharara, festive, eid, traditional. Available in Multan, Pakistan. Price: PKR 8000."
37,Silk Abaya with Embroidery,سلک عبایہ ایمبرائیڈری,Clothing,"['abaya', 'silk', 'embroidery', 'modest']",7500,Karachi,product,mid,PKR,True,23,1,out_of_stock,"Silk Abaya with Embroidery — Clothing listing featuring abaya, silk, embroidery, modest. Available in Karachi, Pakistan. Price: PKR 7500."
38,Pure Lawn Fabric per meter,خالص لان کپڑا فی میٹر,Fabric,"['lawn', 'fabric', 'unstitched', 'summer']",350,Faisalabad,product,low,PKR,True,2,12,out_of_stock,"Pure Lawn Fabric per meter — Fabric listing featuring lawn, fabric, unstitched, summer. Available in Faisalabad, Pakistan. Price: PKR 350."
39,Khaddar Fabric Winter Collection,خدر کپڑا وینٹر کلیکشن,Fabric,"['khaddar', 'winter', 'warm', 'fabric']",600,Lahore,product,low,PKR,True,21,8,in_stock,"Khaddar Fabric Winter Collection — Fabric listing featuring khaddar, winter, warm, fabric. Available in Lahore, Pakistan. Price: PKR 600."
