user_id,listing_id,event_weight,interaction_type,archetype,timestamp,item_coldness
U0082,22,0.2,click,A02,2026-02-01 10:05:20,warm
U0017,75,0.2,click,A13,2026-02-01 10:46:06,warm
U0017,85,0.2,click,A13,2026-02-01 10:47:50,warm
U0080,60,0.2,click,A07,2026-02-01 11:43:20,warm
U0080,74,0.2,click,A07,2026-02-01 11:44:23,warm
U0127,53,0.2,click,A10,2026-02-01 13:14:09,warm
U0168,27,0.2,click,A11,2026-02-01 13:53:21,warm
U0019,106,0.2,click,A05,2026-02-01 15:03:08,warm
U0019,107,0.5,save,A05,2026-02-01 15:04:28,warm
U0019,26,0.2,click,A05,2026-02-01 15:07:13,warm
U0114,45,0.2,click,A12,2026-02-01 16:31:04,warm
U0100,81,0.5,save,A06,2026-02-01 16:35:20,warm
U0180,85,0.2,click,A01,2026-02-01 16:48:54,warm
U0264,62,0.2,click,A02,2026-02-01 17:09:01,warm
U0196,103,0.2,click,A09,2026-02-01 17:39:05,warm
U0182,69,0.2,click,A07,2026-02-01 18:39:18,warm
U0016,81,0.2,click,A06,2026-02-01 18:49:41,warm
U0016,24,0.2,click,A06,2026-02-01 18:53:02,warm
U0269,71,0.2,click,A04,2026-02-01 21:53:48,warm
U0109,22,0.2,click,A09,2026-02-01 22:22:06,warm
U0268,55,0.2,click,A08,2026-02-02 09:11:13,warm
U0245,109,0.2,click,A08,2026-02-02 09:47:36,warm
U0245,95,0.2,click,A08,2026-02-02 09:47:43,warm
U0245,90,0.2,click,A08,2026-02-02 09:50:05,warm
U0245,56,0.2,click,A08,2026-02-02 09:51:38,warm
U0201,30,0.2,click,A06,2026-02-02 09:57:52,warm
U0201,32,0.2,click,A06,2026-02-02 09:59:33,warm
U0201,31,0.2,click,A06,2026-02-02 09:59:37,warm
U0201,27,0.2,click,A06,2026-02-02 13:01:13,warm
U0290,83,0.2,click,A09,2026-02-02 13:25:51,warm
U0125,87,0.2,click,A05,2026-02-02 13:29:48,warm
U0125,89,0.2,click,A05,2026-02-02 13:30:11,warm
U0073,41,0.2,click,A12,2026-02-02 14:39:34,warm
U0073,37,0.2,click,A12,2026-02-02 14:41:17,warm
U0073,30,0.2,click,A12,2026-02-02 14:43:30,warm
U0120,33,0.2,click,A06,2026-02-02 15:30:36,warm
U0120,39,0.2,click,A06,2026-02-02 15:31:01,warm
U0030,38,0.2,click,A11,2026-02-02 15:31:21,warm
U0030,26,0.2,click,A11,2026-02-02 15:32:47,warm
U0281,108,0.2,click,A07,2026-02-02 15:39:38,warm
U0286,109,0.2,click,A08,2026-02-02 16:09:24,warm
U0272,44,0.5,save,A05,2026-02-02 17:39:04,warm
U0272,106,0.2,click,A05,2026-02-02 17:39:37,warm
U0165,24,0.2,click,A06,2026-02-02 18:02:52,warm
U0165,32,0.5,save,A06,2026-02-02 18:03:21,warm
U0165,37,0.2,click,A06,2026-02-02 18:03:34,warm
U0153,50,0.2,click,A10,2026-02-02 19:16:32,warm
U0031,61,0.2,click,A07,2026-02-02 21:07:09,warm
U0031,62,0.2,click,A07,2026-02-02 21:08:04,warm
U0088,77,0.2,click,A01,2026-02-02 21:52:31,warm
U0088,72,0.2,click,A01,2026-02-02 21:53:13,warm
U0088,105,0.2,click,A01,2026-02-02 21:54:28,warm
U0088,25,0.2,click,A01,2026-02-02 21:55:49,warm
U0088,81,0.2,click,A01,2026-02-02 21:56:04,warm
U0075,35,0.2,click,A10,2026-02-02 22:18:11,warm
U0075,107,0.2,click,A10,2026-02-02 22:19:22,warm
U0075,94,0.2,click,A10,2026-02-02 22:19:30,warm
U0075,54,0.2,click,A10,2026-02-02 22:21:42,warm
U0160,37,0.2,click,A03,2026-02-02 22:46:26,warm
U0160,88,0.2,click,A03,2026-02-02 22:46:33,warm
U0160,45,0.2,click,A03,2026-02-02 22:46:52,warm
U0051,51,0.2,click,A10,2026-02-03 09:16:17,warm
U0051,95,0.2,click,A10,2026-02-03 09:17:13,warm
U0080,93,0.2,click,A07,2026-02-03 11:21:53,warm
U0080,59,0.2,click,A07,2026-02-03 11:22:33,warm
U0076,22,0.2,click,A05,2026-02-03 12:28:29,warm
U0076,45,0.2,click,A05,2026-02-03 12:31:21,warm
U0182,99,0.2,click,A07,2026-02-03 13:27:49,warm
U0182,73,0.2,click,A07,2026-02-03 13:28:45,warm
U0182,74,0.2,click,A07,2026-02-03 13:29:02,warm
U0063,49,0.2,click,A10,2026-02-03 13:34:16,warm
U0063,86,0.2,click,A10,2026-02-03 13:35:35,warm
U0108,104,0.2,click,A06,2026-02-03 13:57:03,warm
U0091,105,0.2,click,A08,2026-02-03 14:15:24,warm
U0091,54,0.2,click,A08,2026-02-03 14:20:11,warm
U0039,37,0.2,click,A10,2026-02-03 14:41:32,warm
U0180,98,0.5,save,A01,2026-02-03 15:36:37,warm
U0246,24,0.2,click,A10,2026-02-03 15:47:15,warm
U0246,63,0.2,click,A10,2026-02-03 15:51:48,warm
U0257,41,0.2,click,A02,2026-02-03 16:18:59,warm
U0257,39,0.2,click,A02,2026-02-03 16:19:04,warm
U0100,34,0.2,click,A06,2026-02-03 19:31:47,warm
U0191,68,0.2,click,A09,2026-02-03 19:56:47,warm
U0153,54,0.2,click,A10,2026-02-03 20:40:41,warm
U0262,26,0.2,click,A06,2026-02-03 20:48:15,warm
U0218,26,0.2,click,A01,2026-02-04 10:47:00,warm
U0216,63,0.2,click,A07,2026-02-04 10:51:20,warm
U0216,62,0.5,save,A07,2026-02-04 10:52:24,warm
U0061,40,0.2,click,A10,2026-02-04 11:58:03,warm
U0061,86,0.2,click,A10,2026-02-04 11:58:47,warm
U0061,33,0.2,click,A10,2026-02-04 11:59:55,warm
U0034,26,0.2,click,A11,2026-02-04 12:36:05,warm
U0034,27,0.2,click,A11,2026-02-04 12:40:02,warm
U0249,97,0.2,click,A01,2026-02-04 12:46:55,warm
U0249,27,0.2,click,A01,2026-02-04 12:49:19,warm
U0146,97,0.2,click,A01,2026-02-04 12:50:34,warm
U0146,68,0.2,click,A01,2026-02-04 12:51:02,warm
U0146,81,0.2,click,A01,2026-02-04 12:54:30,warm
U0045,38,0.2,click,A10,2026-02-04 13:02:11,warm
U0045,49,0.2,click,A10,2026-02-04 13:03:24,warm
U0145,50,0.5,save,A12,2026-02-04 14:50:24,warm
U0114,48,0.2,click,A12,2026-02-04 15:16:46,warm
U0045,34,0.2,click,A10,2026-02-04 16:13:12,warm
U0103,97,0.2,click,A01,2026-02-04 19:37:00,warm
U0103,26,0.2,click,A01,2026-02-04 19:38:19,warm
U0103,68,0.2,click,A01,2026-02-04 19:39:36,warm
U0054,101,0.5,save,A10,2026-02-04 19:56:02,warm
U0264,27,0.2,click,A02,2026-02-04 20:30:05,warm
U0264,21,0.2,click,A02,2026-02-04 20:31:26,warm
U0197,21,0.2,click,A05,2026-02-04 22:25:22,warm
U0197,91,0.2,click,A05,2026-02-04 22:27:48,warm
U0226,54,0.2,click,A10,2026-02-04 22:44:32,warm
U0279,105,0.2,click,A09,2026-02-05 09:40:51,warm
U0279,71,0.2,click,A09,2026-02-05 09:42:13,warm
U0184,100,0.2,click,A08,2026-02-05 10:06:30,warm
U0029,37,0.2,click,A06,2026-02-05 10:07:29,warm
U0029,107,0.2,click,A06,2026-02-05 10:10:34,warm
U0029,33,0.2,click,A06,2026-02-05 10:10:45,warm
U0281,63,0.2,click,A07,2026-02-05 10:48:55,warm
U0281,75,0.2,click,A07,2026-02-05 10:52:29,warm
U0002,49,0.5,save,A12,2026-02-05 11:32:40,warm
U0002,51,0.2,click,A12,2026-02-05 11:33:32,warm
U0126,54,0.2,click,A08,2026-02-05 12:09:42,warm
U0108,81,0.5,save,A06,2026-02-05 12:13:38,warm
U0112,64,0.2,click,A06,2026-02-05 13:04:54,warm
U0112,93,0.2,click,A06,2026-02-05 13:06:25,warm
U0112,51,0.2,click,A06,2026-02-05 13:08:20,warm
U0096,72,0.2,click,A01,2026-02-05 13:55:08,warm
U0246,33,0.2,click,A10,2026-02-05 14:13:42,warm
U0246,53,0.2,click,A10,2026-02-05 14:13:46,warm
U0148,108,0.2,click,A05,2026-02-05 14:50:18,warm
U0148,43,0.2,click,A05,2026-02-05 14:51:30,warm
U0105,103,0.2,click,A04,2026-02-05 15:44:52,warm
U0236,25,0.2,click,A06,2026-02-05 16:04:09,warm
U0046,77,0.2,click,A02,2026-02-05 16:52:26,warm
U0101,95,0.2,click,A08,2026-02-05 17:04:06,warm
U0070,83,0.2,click,A04,2026-02-05 20:30:06,warm
U0233,57,0.2,click,A04,2026-02-05 21:02:40,warm
U0201,33,0.2,click,A06,2026-02-06 09:12:22,warm
U0201,84,0.2,click,A06,2026-02-06 09:14:05,warm
